address
nan
NEW YORK SEGMENTProperty
PENN 1 (ground leased through 2098)
1290 Avenue of the Americas
PENN 2
909 Third Avenue (ground leased through 2063)
280 Park Avenue
"Independence Plaza, Tribeca (1,327 units)"
770 Broadway
PENN 11
100 West 33rd Street
90 Park Avenue
One Park Avenue
888 Seventh Avenue (ground leased through 2067)
The Farley Building (ground and building leased through 2116)
330 West 34th Street (65.2% ground leased through 2149)
85 Tenth Avenue
650 Madison Avenue
350 Park Avenue
150 East 58th Street
7 West 34th Street
595 Madison Avenue
640 Fifth Avenue
Sunset Pier 94 Studios (ground and building leased through 2110)
260 Eleventh Avenue (ground leased through 2114)
4 Union Square South
61 Ninth Avenue (2 buildings) (ground leased through 2115)
512 West 22nd Street
825 Seventh Avenue
1540 Broadway
Paramus
666 Fifth Avenue
1535 Broadway
57th Street (2 buildings)
689 Fifth Avenue
150 West 34th Street
655 Fifth Avenue
435 Seventh Avenue
606 Broadway
697-703 Fifth Avenue
1131 Third Avenue
131-135 West 33rd Street
